时间,水深(mm),雨量(mm)
2019/8/29 22:26,0,0
2019/8/29 23:26,0,0
2019/8/29 23:51,0,0.4
2019/8/29 23:56,0,0.2
2019/8/30 0:26,0,0
2019/8/30 0:46,0,0.2
2019/8/30 0:51,0,0.2
2019/8/30 0:56,0,0.2
2019/8/30 1:01,0,0.2
2019/8/30 1:06,0,0.2
2019/8/30 1:26,0,0
2019/8/30 1:31,0,0.2
2019/8/30 2:06,0,0.2
2019/8/30 2:11,0,0.2
2019/8/30 2:26,0,0
2019/8/30 2:46,0,0.2
2019/8/30 2:51,0,0.4
2019/8/30 2:56,0,0.2
2019/8/30 3:01,0,0.2
2019/8/30 3:26,0,0
2019/8/30 4:26,0,0
2019/8/30 5:26,0,0
2019/8/30 6:26,0,0
2019/8/30 7:26,0,0
2019/8/30 8:26,0,0
2019/8/30 9:26,0,0
2019/8/30 10:26,0,0
2019/8/30 11:26,0,0
2019/8/30 12:26,0,0
2019/8/30 13:26,0,0
2019/8/30 14:26,0,0
2019/8/30 15:26,0,0
2019/8/30 16:26,0,0
2019/8/30 17:26,0,0
2019/8/30 18:26,0,0
2019/8/30 19:26,0,0
2019/8/30 20:26,0,0
2019/8/30 21:26,0,0
2019/8/30 22:26,0,0
2019/8/30 23:26,0,0
2019/8/31 0:26,0,0
2019/8/31 1:26,0,0
2019/8/31 2:26,0,0
2019/8/31 3:26,0,0
2019/8/31 4:26,0,0
2019/8/31 5:26,0,0
2019/8/31 6:26,0,0
2019/8/31 7:26,0,0
2019/8/31 8:26,0,0
2019/8/31 9:26,0,0
2019/8/31 10:26,0,0
2019/8/31 11:26,0,0
2019/8/31 12:26,0,0
2019/8/31 13:26,0,0
2019/8/31 14:26,0,0
2019/8/31 15:26,0,0
2019/8/31 16:26,0,0
2019/8/31 17:26,0,0
2019/8/31 17:36,0,0.2
2019/8/31 17:41,0,0.2
2019/8/31 17:51,0,0.4
2019/8/31 17:56,0,0.2
2019/8/31 18:01,0,0.2
2019/8/31 18:26,0,0
2019/8/31 19:26,0,0
2019/8/31 20:26,0,0
2019/8/31 21:26,0,0
2019/8/31 22:26,0,0
2019/8/31 23:26,0,0
2019/9/1 0:26,0,0
2019/9/1 1:26,0,0.2
2019/9/1 1:31,0,0.2
2019/9/1 1:36,0,0.4
2019/9/1 1:51,0,0.2
2019/9/1 2:11,0,0.2
2019/9/1 2:16,0,0.2
2019/9/1 2:21,0,0.2
2019/9/1 2:26,0,0
2019/9/1 2:36,0,0.2
2019/9/1 2:41,0,0.2
2019/9/1 2:46,0,0.2
2019/9/1 2:56,0,0.2
2019/9/1 3:01,0,0.2
2019/9/1 3:06,0,0.2
2019/9/1 3:11,0,0.2
2019/9/1 3:21,0,0.4
2019/9/1 3:26,0,0.2
2019/9/1 3:36,0,0.2
2019/9/1 4:26,0,0
2019/9/1 5:26,0,0
2019/9/1 6:26,0,0
2019/9/1 7:26,0,0
2019/9/1 8:26,0,0
2019/9/1 9:01,0,0.2
2019/9/1 9:26,0,0
2019/9/1 10:26,0,0
2019/9/1 11:26,0,0
2019/9/1 12:26,0,0
2019/9/1 13:26,0,0
2019/9/1 14:26,0,0.2
2019/9/1 14:46,0,0.2
2019/9/1 15:01,0,0.2
2019/9/1 15:21,0,0.2
2019/9/1 15:26,0,0
2019/9/1 16:26,0,0
2019/9/1 17:06,0,0.2
2019/9/1 17:16,0,0.2
2019/9/1 17:21,0,0.2
2019/9/1 17:26,0,0
2019/9/1 18:26,0,0
2019/9/1 18:31,0,0.4
2019/9/1 18:36,0,0.2
2019/9/1 18:41,0,0.2
2019/9/1 19:06,10,0
2019/9/1 19:21,10,0
2019/9/1 19:26,0,0
2019/9/1 19:31,0,0.2
2019/9/1 19:51,10,0
2019/9/1 19:56,10,0
2019/9/1 20:11,10,0
2019/9/1 20:26,0,0
2019/9/1 20:36,10,0
2019/9/1 20:41,10,0
2019/9/1 20:46,10,0
2019/9/1 21:11,0,0.2
2019/9/1 21:21,10,0
2019/9/1 21:26,0,0
2019/9/1 21:36,10,0
2019/9/1 21:56,10,0
2019/9/1 22:01,10,0
2019/9/1 22:06,10,0
2019/9/1 22:21,10,0
2019/9/1 22:26,10,0
2019/9/1 23:06,20,0
2019/9/1 23:11,10,0
2019/9/1 23:21,10,0
2019/9/1 23:26,0,0
2019/9/1 23:31,10,0.2
2019/9/1 23:36,0,0.2
2019/9/2 0:01,10,0
2019/9/2 0:11,20,0
2019/9/2 0:16,0,1.2
2019/9/2 0:21,0,0.8
2019/9/2 0:26,0,0.2
2019/9/2 0:56,20,0
2019/9/2 1:26,0,0
2019/9/2 1:41,20,0
2019/9/2 1:56,10,0
2019/9/2 2:16,20,0
2019/9/2 2:21,20,0
2019/9/2 2:26,0,0
2019/9/2 2:36,20,0
2019/9/2 2:51,20,0
2019/9/2 3:16,20,0
2019/9/2 3:21,20,0
2019/9/2 3:26,0,0
2019/9/2 3:31,20,0
2019/9/2 3:56,20,0
2019/9/2 4:06,10,0
2019/9/2 4:21,20,0
2019/9/2 4:26,0,0
2019/9/2 5:06,20,0
2019/9/2 5:21,10,0
2019/9/2 5:26,0,0
2019/9/2 6:26,0,0
2019/9/2 7:26,0,0
2019/9/2 8:26,0,0
2019/9/2 9:26,0,0
2019/9/2 9:41,10,0
2019/9/2 9:46,10,0
2019/9/2 9:51,10,0
2019/9/2 9:56,10,0
2019/9/2 10:26,0,0
2019/9/2 10:51,0,0.2
2019/9/2 10:56,0,0.6
2019/9/2 11:01,0,0.8
2019/9/2 11:06,0,0.2
2019/9/2 11:21,0,0.6
2019/9/2 11:26,0,0.4
2019/9/2 11:31,0,0.8
2019/9/2 11:36,0,1.4
2019/9/2 11:41,10,5.4
2019/9/2 11:46,10,4.8
2019/9/2 11:51,10,4.8
2019/9/2 11:56,10,6.2
2019/9/2 12:01,0,2
2019/9/2 12:06,10,0.8
2019/9/2 12:11,10,2.4
2019/9/2 12:16,10,3
2019/9/2 12:21,10,2
2019/9/2 12:26,10,1.2
2019/9/2 12:31,10,0.2
2019/9/2 12:36,10,0.2
2019/9/2 12:41,10,0
2019/9/2 12:46,10,0
2019/9/2 12:51,20,0
2019/9/2 12:56,10,0
2019/9/2 13:01,10,0
2019/9/2 13:06,10,0
2019/9/2 13:11,10,0
2019/9/2 13:16,10,0
2019/9/2 13:21,10,0
2019/9/2 13:26,10,0
2019/9/2 13:31,10,0
2019/9/2 13:36,10,0
2019/9/2 13:41,10,0
2019/9/2 13:46,10,0
2019/9/2 13:51,10,0
2019/9/2 13:56,10,0
2019/9/2 14:01,10,0
2019/9/2 14:06,10,0
2019/9/2 14:11,10,0
2019/9/2 14:16,10,0
2019/9/2 14:21,10,0
2019/9/2 14:26,10,0
2019/9/2 14:31,10,0
2019/9/2 14:36,10,0
2019/9/2 14:41,10,0
2019/9/2 14:46,10,0
2019/9/2 14:51,10,0
2019/9/2 14:56,10,0
2019/9/2 15:01,10,0
2019/9/2 15:06,10,0
2019/9/2 15:11,10,0
2019/9/2 15:16,10,0
2019/9/2 15:21,10,0
2019/9/2 15:26,10,0
2019/9/2 15:31,10,0
2019/9/2 15:36,10,0
2019/9/2 15:41,10,0
2019/9/2 15:46,10,0
2019/9/2 15:51,10,0
2019/9/2 15:56,10,0
2019/9/2 16:01,10,0
2019/9/2 16:06,10,0
2019/9/2 16:16,0,0.4
2019/9/2 16:21,0,0.2
2019/9/2 16:26,0,0
2019/9/2 16:31,0,0.2
2019/9/2 16:36,0,0.2
2019/9/2 17:11,0,1
2019/9/2 17:16,0,1.2
2019/9/2 17:21,0,2.2
2019/9/2 17:26,10,5.4
2019/9/2 17:31,10,6.8
2019/9/2 17:36,20,4.8
2019/9/2 17:41,20,3.2
2019/9/2 17:46,10,3.2
2019/9/2 17:51,10,3.2
2019/9/2 17:56,10,3.6
2019/9/2 18:01,10,2.2
2019/9/2 18:06,20,1.6
2019/9/2 18:11,10,1.2
2019/9/2 18:16,0,1
2019/9/2 18:21,0,1.2
2019/9/2 18:26,0,1.4
2019/9/2 18:31,20,1.4
2019/9/2 18:36,10,1.2
2019/9/2 18:41,50,0.4
2019/9/2 18:46,30,0.2
2019/9/2 18:51,40,0.2
2019/9/2 18:56,40,0.2
2019/9/2 19:01,40,0.2
2019/9/2 19:06,30,0.2
2019/9/2 19:11,30,0.8
2019/9/2 19:16,30,1.4
2019/9/2 19:21,30,0.8
2019/9/2 19:26,40,1
2019/9/2 19:31,0,0.8
2019/9/2 19:36,50,0.4
2019/9/2 19:41,40,0.2
2019/9/2 19:46,50,0.6
2019/9/2 19:51,50,0.4
2019/9/2 19:56,50,0.4
2019/9/2 20:01,0,0.6
2019/9/2 20:06,50,0.6
2019/9/2 20:11,60,0.4
2019/9/2 20:16,50,0.2
2019/9/2 20:21,40,0.4
2019/9/2 20:26,30,0.4
2019/9/2 20:31,10,0.2
2019/9/2 20:36,30,0.2
2019/9/2 20:41,20,0.2
2019/9/2 20:51,20,0.2
2019/9/2 20:56,0,0.2
2019/9/2 21:01,10,0.2
2019/9/2 21:06,0,0.2
2019/9/2 21:16,10,0
2019/9/2 21:21,0,0.2
2019/9/2 21:26,0,0
2019/9/2 21:36,0,0.4
2019/9/2 21:41,0,0.2
2019/9/2 21:46,0,0.2
2019/9/2 21:51,10,0.2
2019/9/2 21:56,10,0.2
2019/9/2 22:01,10,0.2
2019/9/2 22:06,10,0
2019/9/2 22:16,10,0.2
2019/9/2 22:26,0,0.2
2019/9/2 22:31,10,0
2019/9/2 22:36,0,0.2
2019/9/2 22:46,0,0.2
2019/9/2 22:56,0,0.2
2019/9/2 23:01,10,0
2019/9/2 23:11,0,0.2
2019/9/2 23:16,10,0
2019/9/2 23:26,0,0.2
2019/9/2 23:36,10,0.2
2019/9/2 23:41,10,0.2
2019/9/3 0:01,10,0
2019/9/3 0:06,10,0.2
2019/9/3 0:16,10,0
2019/9/3 0:26,10,0.2
2019/9/3 0:36,10,0
2019/9/3 0:41,10,0
2019/9/3 0:46,10,0
2019/9/3 0:51,10,0
2019/9/3 1:11,10,0
2019/9/3 1:16,10,0
2019/9/3 1:26,0,0
2019/9/3 1:36,10,0
2019/9/3 1:46,10,0
2019/9/3 1:51,10,0
2019/9/3 1:56,10,0
2019/9/3 2:06,10,0
2019/9/3 2:16,10,0
2019/9/3 2:26,0,0
2019/9/3 2:51,10,0
2019/9/3 3:01,10,0
2019/9/3 3:06,10,0
2019/9/3 3:11,10,0
2019/9/3 3:26,0,0
2019/9/3 3:31,10,0
2019/9/3 3:41,10,0
2019/9/3 3:56,10,0
2019/9/3 4:01,10,0
2019/9/3 4:16,10,0
2019/9/3 4:21,10,0
2019/9/3 4:26,0,0
2019/9/3 4:56,10,0
2019/9/3 5:01,10,0
2019/9/3 5:16,10,0
2019/9/3 5:21,10,0
2019/9/3 5:26,0,0
2019/9/3 6:26,0,0
